hanzi,level,frequency,pinyin,meanings
的,1,1,de,of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression)
了,1,3,le,"(completed action marker); (modal particle indicating change of state, situation now)"
我,1,3,wǒ,I; me; my
是,1,4,shì,to be; correct; right; true
你,1,5,nǐ,"you (informal)"
在,1,5,zài,(of sb or sth) to be (located) at; (used before a verb to indicate an action in progress)
不,1,9,bù,no; not
有,1,9,yǒu,to have; there is
他,1,10,tā,he; him
这,1,11,zhè,this; these
这儿,1,,zhèr -,here
个,1,19,gè,(classifier used before a noun that has no specific classifier)
和,1,19,hé,and
人,1,19,rén,person; people
们,1,,men,(plural indicator for people)
我们,1,19,wǒ men,we; us
好,1,20,hǎo,good
好的,1,,hǎo de,OK (normal)
好吧,1,,hǎo ba,OK (reluctant)
好啊,1,,hǎo a,OK (enthusiastic)
你好,1,,nǐ hǎo,hello (formal)
一,1,21,yī,1; one; a
会,1,23,huì,to have the skill; to know how to; meeting; will (future tense)
都,1,25,dōu,all; both; entirely
上,1,29,shàng,up; on; above; previous; to attend (class or duty)
来,1,31,lái,to come
很,1,35,hěn,quite; very
去,1,38,qù,to go
她,1,38,tā,she
我的,1,,wǒ de,my; mine
你的,1,,nǐ de,your; yours
他的,1,,tā de,his
她的,1,,tā de,hers
想,1,44,xiǎng,to desire; to whish; to think; to believe
能,1,46,néng,can; to be able to; might possibly
那,1,48,nà,that
那儿,1,,nàr -,there
看,1,52,kàn,to see; to look at; to read; to watch
好看,1,,hǎo kàn,good looking; interesting to read
做,1,53,zuò,to make; to produce; to do
什么,1,55,shén me,what?; something; anything
点,1,58,diǎn,o'clock
没,1,63,méi, have not; not
大,1,66,dà,big; large; great; older (than another person)
下,1,70,xià,down; downwards; below; later
里,1,75,lǐ,inside; 500m
面,1,,miàn,side; surface; (measure word for flat surfaces)
里面,1,,lǐ miàn,inside
这里,1,,zhè lǐ,here
那里,1,,nà lǐ,there
哪里,1,,nǎ lǐ,where?
上面,1,,shàng miàn,on top of; over; above
下面,1,,xià miàn,under; below
现在,1,77,xiàn zài,now; at the moment; nowadays
年,1,79,nián,year
多,1,80,duō,many; much
吗,1,83,ma,(question particle for yes-no questions)
太,1,87,tài,very; too
太多,1,,tài duō,a lot; too much
太A了,1,,tài A le,very A; too much A
多大,1,,duō dà,how old?; how much?; how big?
呢,1,96,ne,What about you?; (at the end of a sentence with) continuous tense.
小,1,100,xiǎo,small; tiny; young
时候,1,107,shí hou,time; moment; period
工作,1,111,gōng zuò,to work; job; task
家,1,124,jiā,home; family
怎么,1,128,zěn me,how?; what?; why?
爱,1,130,ài,to love; to be fond of; to like
喜欢,1,139,xǐ huan,to like; to be fond of
吃,1,142,chī,to eat
谁,1,142,shéi,who
今天,1,155,jīn tiān,today
月,1,161,yuè,moon; month
几,1,178,jǐ,how much; how many; several; a few
听,1,190,tīng,to listen to; to hear
听见,1,,tīng jiàn,to hear
开,1,195,kāi,to open; to turn on (a machine); to drive (a car)
开车,1,,kāi chē,to drive a car
叫,1,200,jiào,to call; to be called; to shout
请,1,216,qǐng,to ask; to invite; please (do sth)
钱,1,218,qián,coin; money
本,1,222,běn,"(classifier for books)"
回,1,225,huí,to go back; to return
回来,1,,huí lái,to come back
回去,1,,huí qù,to go back
回家,1,,huí jiā,to go back home
东西,1,226,dōng xi,thing; stuff
三,1,233,sān,3
买,1,240,mǎi,to buy; to purchase
岁,1,266,suì,years old
朋友,1,280,péng you,friend
住,1,280,zhù,to live (somewhere)
住在,1,,zhù zài,to live in
水,1,335,shuǐ,water
写,1,352,xiě,to write
日,1,395,rì,sun; day; date; day of the month
喝,1,428,hē,to drink
学,1,,xué,to learn; to study
学校,1,430,xué xiào,school
小学,1,,xiǎo xué,primary school
中学,1,,zhōng xué,secondary school
大学,1,,dà xué,university
坐,1,435,zuò,"to sit; to take a seat; to take (a bus, an airplane, a car as a passenger)"
请坐,1,,qǐng zuò,please sit down
认识,1,463,rèn shi,to know; to recognize
分,1,372,fēn,(measure word for minutes)
分钟,1,465,fēn zhōng,minute
明天,1,469,míng tiān,tomorrow
四,1,481,sì,4
块,1,483,kuài,(classifier for money)
谢谢,1,520,xiè xie,thank you
多少,1,526,duō shao,how much?; how many?
妈妈,1,527,mā ma,mother; mom
少,1,538,shǎo,few; less
电影,1,546,diàn yǐng,movie; film
电影院,1,546,diàn yǐng yuàn,cinema
哪,1,547,nǎ,which?
哪儿,1,,nǎr -,where?
昨天,1,557,zuó tiān,yesterday
书,1,560,shū,book
五,1,563,wǔ,5
先生,1,586,xiān sheng,gentleman; sir; Mr.
医院,1,608,yī yuàn,hospital
些,1,611,xiē,some; a few; several
一些,1,,yì xiē,some; a few; several
这些,1,,zhè xiē,these
狗,1,620,gǒu,dog
学生,1,651,xué sheng,student
二,1,664,èr,2
儿子,1,665,ér zi,son
中国,1,729,Zhōng guó,China
美,1,,měi,beautiful
美国,1,,Měi guó,the US
电视,1,779,diàn shì,television; TV
下午,1,782,xià wǔ,afternoon
学习,1,789,xué xí,to learn; to study
老师,1,799,lǎo shī,teacher
六,1,802,liù,6
医生,1,827,yī shēng,doctor
住院,1,,zhù yuàn,to be hospitalized
名字,1,829,míng zi,name (of a person or thing)
十,1,865,shí,10
见,1,,jiàn,to see; to meet
看见,1,870,kàn jiàn,to see; to catch sight of
女儿,1,879,nǔ ér,daughter
说话,1,880,shuō huà,to speak; to talk
爸爸,1,908,bà ba,father; dad
字,1,913,zì,letter; character; word
漂亮,1,915,piào liang,pretty; beautiful
高兴,1,920,gāo xìng,happy; glad
